,A,C1,Y,C2,C3,C4,X1,X2,X3,X4,C5,C6,X5,X6
39,0,0,0,1,1,2,0,0,1,0,-0.31009828171647147,3.5929904284033665,-0.003624978330892481,3.28504945638708
40,1,1,1,3,1,1,0,2,1,1,1.2,1.8,1.8193987696930083,1.4877335016229747
41,0,0,1,1,0,2,0,3,1,0,1.266236586128391,1.3180193991336064,2.3006442214066167,1.8394982063081744
42,0,0,0,0,1,0,0,1,0,1,2.570226937187038,1.4557330106237065,0.3724867620267178,3.28504945638708
43,0,0,1,1,0,1,1,2,1,2,1.266236586128391,1.0390753902128178,2.3006442214066167,1.8394982063081744
44,1,1,1,2,1,0,0,3,0,1,1.2,1.8,1.8601794866170518,1.4877335016229747
45,0,0,0,1,0,0,1,2,1,1,1.1528062424333108,1.6892904162511793,2.2095544182840805,3.28504945638708
46,1,1,1,3,1,0,1,2,0,2,1.2,1.8,1.8601794866170518,1.4877335016229747
47,1,0,1,0,1,0,1,3,0,1,1.2,1.8,1.8601794866170518,1.4059038314892094
48,0,0,0,0,1,3,1,2,0,3,1.8373226101126605,0.2094850408127935,0.4454302720195036,3.28504945638708
49,0,0,0,3,1,2,0,0,0,0,1.4552502179853493,3.740200877432421,1.313572132688584,3.28504945638708
50,0,0,0,3,1,3,1,2,0,1,0.6019379514920964,3.740200877432421,1.8868812670929322,3.28504945638708
51,1,1,0,0,0,2,0,0,0,3,2.261867194224489,1.6357051683147064,0.43766107140025623,1.6690061534691492
52,0,0,0,2,1,1,1,0,1,0,0.03199960665742929,1.8214782500595583,0.5851010913825652,3.28504945638708
53,0,0,1,2,1,0,1,0,1,3,1.266236586128391,0.9561985499042247,-0.5165326480497807,1.561900993610366
54,0,0,0,2,0,2,1,3,0,2,1.0304311238135988,1.726928512439214,1.1513320347583207,3.28504945638708
55,1,0,0,2,1,3,0,3,1,3,2.759044802224953,1.154693660575917,0.43766107140025623,1.6690061534691492
56,0,0,1,0,0,1,1,2,0,1,1.266236586128391,0.9561985499042247,2.7699531109620414,1.98390439690191
57,1,1,0,1,1,3,1,3,1,3,0.1086761570724808,2.47054991753612,0.43766107140025623,1.6690061534691492
58,0,1,0,1,0,3,1,0,1,1,1.1723878683390387,1.7836276528451016,0.7628536141420357,3.28504945638708
59,1,1,0,2,0,2,0,1,1,1,2.3767167292165583,2.0078713544705122,0.43766107140025623,1.6690061534691492
60,1,1,1,3,0,0,1,0,0,0,1.2547301448516262,1.8,1.291603801976013,0.03402294838965725
61,1,1,0,2,0,3,0,1,0,2,-0.0475198031862063,1.4277922200097313,1.139742161338956,1.6690061534691492
62,1,0,0,2,1,3,0,0,0,2,0.18117515067141143,1.6401590735105864,2.035619613459393,1.6690061534691492
63,0,0,0,2,0,0,0,1,0,3,1.4716460638269915,3.2893152113277666,1.4637025346637846,3.28504945638708
64,0,0,0,1,1,2,0,1,0,0,2.7784369498400383,1.6135902594806861,1.4637025346637846,3.28504945638708
65,1,1,1,3,1,0,1,2,1,0,1.2547301448516262,1.8,0.8992491229049573,0.03402294838965725
66,1,1,1,0,1,0,1,1,1,0,1.2547301448516262,1.8,0.8992491229049573,0.03402294838965725
67,0,0,0,3,0,0,1,2,0,3,1.7087860612355192,-0.40767058819392554,1.3429150753909094,3.28504945638708
68,0,0,1,3,1,1,0,0,0,0,1.0026303357885495,0.9561985499042247,0.9139099872763512,2.6242790197940535
69,1,1,0,1,0,1,1,1,1,2,2.7514389204234004,1.9202210608625583,1.1202683169608245,1.6690061534691492
70,1,0,0,0,1,2,0,3,0,0,-0.6691083984105508,1.381988470323709,1.1202683169608245,1.6690061534691492
71,1,1,0,3,0,2,1,2,1,2,-0.6691083984105508,1.381988470323709,1.1202683169608245,1.6690061534691492
72,1,1,1,3,0,3,0,3,1,1,1.2547301448516262,1.8,0.8990672271122495,0.03402294838965725
73,0,0,1,2,1,1,0,3,0,0,1.0026303357885495,0.9561985499042247,1.1690270104748173,1.4429806036884467
74,0,1,1,2,1,1,1,1,0,3,1.0026303357885495,0.9561985499042247,1.1690270104748173,1.4429806036884467
75,0,0,1,3,1,3,1,0,1,2,1.0026303357885495,0.9561985499042247,1.1690270104748173,1.4429806036884467
76,1,1,1,0,0,2,0,1,1,0,1.2547301448516262,1.8,1.853773157727579,0.03402294838965725
77,1,1,0,3,0,2,1,2,1,3,2.5801856707076096,1.3226910897926663,1.177327871591483,1.6690061534691492
78,1,1,0,0,1,2,0,0,1,1,2.5801856707076096,1.3226910897926663,1.177327871591483,1.6690061534691492
79,1,1,1,3,0,3,0,2,0,2,1.2547301448516262,1.8,1.853773157727579,0.03402294838965725
80,1,1,0,2,1,2,1,3,1,3,0.9380000382893874,3.2948948137311858,1.177327871591483,1.6690061534691492
81,1,0,1,3,0,3,1,0,1,3,1.2547301448516262,1.8,1.1917599229022418,0.03402294838965725
82,0,1,1,0,0,3,0,2,1,2,1.408782574686564,0.9561985499042247,-0.9824299923695095,2.7441019708912098
83,0,0,1,3,0,0,1,3,0,2,1.408782574686564,0.9561985499042247,-0.9824299923695095,2.7441019708912098
84,1,0,0,3,0,3,0,0,0,1,1.778017628707222,2.5981279117747054,1.177327871591483,1.6690061534691492
85,0,1,1,3,0,3,1,1,0,1,1.408782574686564,2.3722398806316614,1.5089378576760457,2.7441019708912098
86,1,1,1,0,1,0,0,3,1,1,1.2547301448516262,1.8,-0.4167522500518581,0.03402294838965725
87,0,0,0,1,1,3,0,1,1,3,2.2806124553698757,1.8541518676877997,0.1764478126750596,1.2450593719595613
88,0,0,1,0,1,1,0,2,0,0,1.408782574686564,2.3722398806316614,1.5089378576760457,2.025482554072271
89,1,0,0,0,0,1,1,3,1,2,1.0025256674587468,2.562016082813444,0.9039046847325589,1.8247014226747125
90,0,0,0,1,0,2,0,2,0,3,2.1091824274541446,0.6929759744448696,-0.3177796364191907,1.2450593719595613
91,0,0,0,2,0,1,0,1,0,3,2.1091824274541446,0.6929759744448696,-0.3177796364191907,1.2450593719595613
92,1,1,1,0,0,3,1,3,1,1,1.2547301448516262,1.8,1.7392201068222133,1.9588210245174689
93,0,0,0,3,0,0,0,3,0,3,2.1091824274541446,1.2504143225069289,1.1795467450901562,1.2450593719595613
94,1,1,1,3,0,0,1,2,0,1,1.2547301448516262,1.8,0.01018178443975426,1.3742306175347108
95,1,1,1,2,0,3,1,2,1,3,1.2547301448516262,1.8,0.01018178443975426,1.3742306175347108
96,1,1,1,2,0,1,0,1,1,0,1.2547301448516262,1.8,0.01018178443975426,1.3742306175347108
97,1,1,1,3,0,0,1,3,1,0,1.2547301448516262,1.8,2.9789016212065014,1.3742306175347108
98,0,1,1,3,1,2,1,3,1,2,0.437348447354581,2.3722398806316614,0.18361134948036595,2.0045885357144915
99,1,1,0,0,1,1,1,1,0,1,2.0066516812813444,1.0174099505110927,0.9039046847325589,1.6610792617346262
100,0,0,0,2,1,1,0,1,0,3,1.0529498902197316,2.1092016676822114,0.9543987741883498,1.2450593719595613
101,1,0,1,3,1,2,0,0,1,1,1.2547301448516262,1.8,2.192111645021363,1.6405150499086556
102,1,1,0,0,0,2,1,0,1,2,1.2594568991837494,1.1364387479273654,1.7207729818143482,1.6610792617346262
103,1,1,0,0,0,3,0,1,0,1,1.4813586459787875,2.956673070642356,1.7207729818143482,1.6610792617346262
104,1,1,0,2,1,0,0,0,0,1,1.4813586459787875,2.956673070642356,1.7207729818143482,1.6610792617346262
105,0,0,1,0,1,2,0,2,1,0,0.437348447354581,1.9806310518299024,-0.22546690152595872,1.543001351545663
106,1,1,0,1,0,0,0,1,0,3,-0.3885036135208366,0.9940286969690737,1.327871589707358,1.6610792617346262
107,1,1,0,1,0,1,1,0,1,0,0.04564256969282243,0.43153896330539965,1.327871589707358,1.6610792617346262
108,1,1,0,3,1,0,1,2,0,3,1.248821457003985,2.645849673392505,1.327871589707358,1.6610792617346262
109,1,1,0,2,1,2,1,3,0,0,1.248821457003985,2.645849673392505,1.327871589707358,1.6610792617346262
110,1,1,1,1,0,3,0,0,1,2,1.2547301448516262,1.8,2.21328078980855,0.8974575646368612
111,0,0,0,1,0,1,0,3,1,2,1.1373436946177917,2.4812373910188352,0.3309425033491622,1.2450593719595613
112,0,0,0,2,0,0,1,2,1,1,1.114319922608664,2.4812373910188352,0.3309425033491622,1.2450593719595613
113,0,1,1,2,1,1,0,2,0,0,0.437348447354581,2.2329247691050473,1.568785462186961,1.543001351545663
114,0,0,1,0,1,1,0,3,1,1,0.437348447354581,2.2329247691050473,1.568785462186961,2.2842565426728965
115,0,0,1,1,0,3,0,0,1,1,0.437348447354581,2.2329247691050473,1.568785462186961,2.2842565426728965
116,1,0,1,3,0,2,0,0,1,0,1.2547301448516262,1.8,1.2961480341784986,0.8974575646368612
117,0,1,1,2,0,1,1,2,0,1,1.6438073263384845,2.2329247691050473,1.568785462186961,2.9089978013146407
118,1,1,1,2,0,1,0,1,1,1,1.2547301448516262,1.8,1.7207155494270308,0.8974575646368612
119,1,1,1,1,1,1,1,0,1,0,1.2547301448516262,1.8,1.7207155494270308,0.8974575646368612
120,1,1,0,2,1,1,0,1,1,1,0.7961791884271263,0.889081978473603,1.8552128079899075,1.6610792617346262
121,1,1,0,0,0,2,0,0,0,3,2.2998713374245687,1.4172746131751908,1.8552128079899075,1.6610792617346262
122,1,1,1,2,1,3,0,3,0,3,1.2547301448516262,1.8,0.6596677738550764,2.190563374604803
123,0,1,1,1,1,1,1,2,1,3,0.7940573263498769,2.1406447016209125,2.2614187508158228,0.9499916899783569
124,0,0,0,1,0,0,1,2,0,3,-0.3480288971603267,3.0330625889063496,3.3755339990918922,2.563379992239925
125,1,0,0,3,0,1,0,2,1,3,2.8540010813208787,1.4207950699883165,2.0119735905398075,1.6610792617346262
126,1,1,0,1,1,0,0,2,1,1,2.8540010813208787,1.4207950699883165,2.0119735905398075,1.6610792617346262
127,1,1,1,0,0,2,0,1,0,2,1.2547301448516262,1.8,0.7842358110863743,3.1033473387440136
128,0,1,1,1,0,2,1,3,0,1,0.7940573263498769,2.930819621578163,0.12358284077237758,1.1137238554359525
129,1,1,0,2,1,1,0,2,1,1,0.4095169152923517,1.2937051483020596,2.0119735905398075,1.6610792617346262
130,0,0,1,3,0,0,1,1,1,3,0.7940573263498769,2.930819621578163,0.08072227358184425,1.1137238554359525
131,0,0,0,3,1,2,0,0,0,0,0.5324319955123488,1.652711555189986,-0.02620701933616032,0.7600716148053523
132,0,0,0,2,1,0,1,1,1,2,0.5324319955123488,1.881425772530849,-1.6726803302604727,1.8278150186429274
133,0,0,0,2,1,0,1,1,1,3,0.43687384083204595,3.596629564114084,2.887638636543029,1.8278150186429274
134,0,1,1,1,1,2,1,1,0,0,0.7940573263498769,2.930819621578163,1.5338810910686038,1.216434495184103
135,0,0,0,1,1,2,0,3,1,3,0.43687384083204595,1.302513304413739,0.7010854509107385,1.8278150186429274
136,1,0,0,2,1,1,0,0,0,1,-0.7467061810449993,2.0032111735477116,1.4899275765526943,1.6610792617346262
137,0,1,0,2,1,0,0,1,1,0,0.43687384083204595,1.0964493965342932,-0.8596819724030338,1.8278150186429274
138,1,1,0,1,0,3,0,3,1,0,4.484943481360334,0.8145685849871096,1.4899275765526943,1.6610792617346262
139,1,1,1,0,0,1,1,3,1,1,1.2547301448516262,1.8,2.7125601250802704,3.1033473387440136
140,0,0,0,0,0,1,0,3,0,3,1.6306173196719018,2.3454190015548217,2.4906386388740582,2.095910463191185
141,0,0,0,3,1,0,1,1,0,3,0.09397084128027755,2.3454190015548217,-0.44455542287997085,2.095910463191185
142,1,1,0,3,0,0,0,3,0,0,-1.60322180517473,2.4258225654951007,1.4899275765526943,1.6610792617346262
143,1,0,0,0,0,3,1,1,0,1,-1.60322180517473,2.8704178795403927,1.4899275765526943,1.6610792617346262
144,1,0,0,1,0,0,1,0,1,3,2.9597304773096926,2.1462426152146863,1.4899275765526943,1.6610792617346262
145,1,1,1,1,1,1,1,3,0,1,1.2547301448516262,1.8,3.999871370328559,3.100104312879523
146,0,0,1,2,1,2,0,1,0,2,1.450261207824338,2.811878342622567,0.3528084979315187,2.7034905200215795
147,0,0,1,2,0,3,0,0,0,1,1.450261207824338,2.811878342622567,0.3528084979315187,2.7034905200215795
148,0,1,0,0,1,0,0,0,1,3,0.19114250357637097,1.7825491288552406,-0.8599799846400078,1.3876217221923057
149,1,1,0,2,1,3,0,2,0,1,0.4752536582531577,2.019506102360129,1.7724457489864576,1.558578053936497
150,1,0,1,3,0,0,1,3,1,1,1.2547301448516262,1.8,0.716624913299978,0.186268759258013
151,0,0,1,1,0,3,1,0,1,1,1.450261207824338,2.811878342622567,-0.6832267338244993,2.7034905200215795
152,1,1,0,3,1,1,0,1,0,3,3.028738420666784,1.8298017372788884,1.7724457489864576,1.558578053936497
153,1,0,0,3,0,1,1,3,0,2,-0.24802218256817854,3.7849904461385346,1.7724457489864576,1.558578053936497
154,0,0,1,1,0,1,1,0,1,1,0.626414000032586,2.811878342622567,0.1387965327161469,1.756158252790398
155,0,0,0,1,0,1,1,1,0,1,-0.816130130590623,2.7865326983499634,0.3497838632172461,1.5532205979029836
156,0,0,0,2,0,3,1,1,0,3,-0.816130130590623,1.831072028709394,0.3497838632172461,1.5728666504400626
157,1,1,0,0,1,3,1,2,1,0,-0.11989989579563032,2.145608992886057,1.7724457489864576,1.558578053936497
158,0,1,0,0,0,1,0,1,0,0,1.5506391186777089,2.3710937600330593,0.3497838632172461,1.5728666504400626
159,1,0,0,0,1,0,1,3,0,0,1.1631174333234091,0.5313274973933706,0.8284383633357688,1.558578053936497
160,1,1,1,3,1,0,1,1,1,0,1.2547301448516262,1.8,0.5268677576149023,0.186268759258013
161,1,1,1,2,1,2,0,3,1,0,1.2547301448516262,1.8,0.5268677576149023,0.186268759258013
162,0,0,1,0,0,3,0,3,1,0,0.8921093846482551,2.811878342622567,0.7846195826223563,1.3817151408789714
163,1,1,1,3,1,2,1,0,0,0,1.2547301448516262,1.8,1.16957160663021,0.186268759258013
164,0,0,0,1,0,1,0,1,0,2,0.9522505705020654,2.469324413694636,2.1890085224929354,2.2307708596496436
165,1,1,0,1,1,3,0,2,1,0,1.4408907872707397,2.8707078313520236,0.8284383633357688,1.558578053936497
166,0,0,0,3,0,3,1,1,0,3,0.9522505705020654,2.469324413694636,2.226224863699279,2.2307708596496436
167,1,1,0,2,1,1,0,3,1,0,1.4408907872707397,1.48688046688182,0.8284383633357688,1.558578053936497
168,0,0,0,3,0,3,1,3,1,3,1.3302023787151098,1.5289268038564323,0.9783927255771159,1.8489837810524867
169,0,1,1,1,1,1,0,2,0,2,0.8921093846482551,2.811878342622567,0.5656423429589061,1.3817151408789714
170,0,0,1,2,0,2,0,2,1,1,0.8921093846482551,2.811878342622567,0.5656423429589061,1.3817151408789714
171,0,0,0,0,0,2,0,1,1,1,1.3543477052922666,0.980171317290309,0.514251987845313,2.330051745749566
172,0,0,0,0,1,1,0,2,1,2,1.2561921283043178,0.980171317290309,0.514251987845313,2.330051745749566
173,1,1,1,0,1,0,0,3,0,2,1.2547301448516262,1.8,1.068412989322645,2.940709029496097
174,0,0,1,2,1,1,0,0,0,1,0.8921093846482551,2.811878342622567,-0.38984129127771605,1.3817151408789714
175,1,1,1,0,0,2,1,3,1,0,1.2547301448516262,1.8,0.5074148605902418,2.940709029496097
176,0,0,1,0,0,0,1,3,0,1,0.8921093846482551,2.811878342622567,1.5932971819564188,1.3817151408789714
177,0,0,1,1,0,1,0,1,1,0,0.8281117789533177,2.811878342622567,1.5932971819564188,1.3817151408789714
178,0,0,0,1,0,3,1,3,1,2,1.6782061210461876,1.2863461692163756,0.5212776828034481,2.330051745749566
179,1,0,0,3,1,2,1,2,0,1,0.37920739364889333,1.2055423068740438,0.8284383633357688,1.558578053936497
180,1,1,0,3,0,3,0,1,0,1,0.37920739364889333,1.2055423068740438,0.8284383633357688,1.558578053936497
181,0,1,1,1,1,1,0,0,0,3,0.8281117789533177,2.811878342622567,0.7447584249538621,1.3817151408789714
182,0,0,1,2,1,2,1,3,1,1,0.8281117789533177,2.811878342622567,0.7447584249538621,1.3817151408789714
183,1,1,0,2,1,1,0,0,1,0,0.9398671654255701,1.2055423068740438,0.8284383633357688,1.558578053936497
184,0,0,1,0,1,0,1,1,0,0,0.8281117789533177,2.811878342622567,1.4427936649600948,1.3817151408789714
185,0,0,1,2,0,3,1,3,0,2,0.8281117789533177,2.811878342622567,1.1970198374411785,1.3817151408789714
186,1,1,0,0,0,2,1,1,0,2,0.9398671654255701,1.9214648739229094,2.5349565381685273,1.558578053936497
187,1,0,0,2,0,2,1,2,0,1,0.9486087321930402,1.9214648739229094,2.5349565381685273,1.558578053936497
188,0,0,1,3,1,1,1,1,0,0,0.8281117789533177,2.811878342622567,1.1970198374411785,1.2538537740614935
189,1,0,0,2,0,0,1,2,0,0,1.753804035359828,2.7538388948020023,2.5349565381685273,1.558578053936497
190,0,1,1,2,1,2,0,3,0,2,0.8281117789533177,2.811878342622567,1.1970198374411785,1.2538537740614935
191,0,1,1,2,1,3,1,0,1,3,0.8281117789533177,2.811878342622567,1.5436641604926793,1.2538537740614935
192,0,0,1,2,1,3,0,2,1,1,0.8281117789533177,2.811878342622567,1.5436641604926793,1.2538537740614935
193,1,1,0,3,0,1,0,1,0,3,0.15060245203753908,3.7515404322811805,1.841487335948686,1.558578053936497
194,0,1,0,2,1,2,0,0,0,2,-1.9378588298665105,1.692827391936278,0.1108384484840903,1.7005741093275448
195,0,0,0,2,1,2,0,1,1,3,2.568092335738362,1.5481070087779738,2.247646978836567,1.7005741093275448
196,0,0,0,1,0,0,0,3,1,1,1.4922310674794113,3.8488212516000417,2.627272255305567,1.636828053164929
197,1,1,0,3,0,2,0,2,0,3,1.7012725594718727,2.3683890399022576,1.841487335948686,1.558578053936497
198,1,0,0,3,1,2,0,0,1,3,1.7012725594718727,1.7802021434065578,1.7446502041993774,1.558578053936497
199,1,1,1,0,1,0,0,0,0,1,1.2547301448516262,1.8390432943963009,0.8113645311836328,2.8115595178320456
200,1,1,1,3,1,1,0,3,1,3,1.2547301448516262,1.8390432943963009,0.8113645311836328,2.8115595178320456
201,1,0,0,0,0,0,1,1,0,0,1.2315908265626165,2.5661617095271594,2.029874035041808,1.558578053936497
202,1,1,0,3,1,1,0,0,0,1,1.2315908265626165,2.5661617095271594,2.029874035041808,1.558578053936497
203,1,0,1,2,0,2,1,3,0,1,1.2547301448516262,1.8390432943963009,-0.7090904485623246,0.6896887996105647
204,1,1,1,0,0,1,1,1,0,1,1.2547301448516262,1.8390432943963009,-0.7090904485623246,0.6896887996105647
205,1,1,0,3,1,3,1,3,1,2,-0.23331022676237279,1.9789435302835365,2.029874035041808,1.558578053936497
206,0,0,1,3,1,1,1,2,0,1,0.07670397999638157,2.083306909514192,1.868809766672563,1.2538537740614935
207,1,0,0,3,0,2,1,3,0,3,-0.23331022676237279,1.9789435302835365,2.029874035041808,1.558578053936497
208,1,1,0,3,0,0,1,3,1,0,-0.23331022676237279,1.5452661627570594,2.029874035041808,1.558578053936497
209,0,0,0,1,1,2,1,2,1,2,1.4062840134538852,3.910668485000398,1.5543713890750868,1.8685933461461097
210,1,1,1,2,1,0,0,2,0,2,1.2547301448516262,1.8390432943963009,2.8717146825563047,0.9669577341596627
211,0,0,0,3,0,2,0,1,1,0,0.45537133318721534,1.7081470791090738,0.09761129673257618,1.8685933461461097
212,0,0,1,3,0,2,0,1,1,1,0.07670397999638157,2.083306909514192,2.2802024243903736,1.0082692238534303
213,0,0,1,3,1,2,1,0,1,2,0.07670397999638157,2.083306909514192,0.6471114300209715,1.7981984922256071
214,0,1,0,0,0,0,1,1,1,3,-0.7279889801753554,1.130577454221696,1.6361218676755422,1.8685933461461097
215,1,0,1,2,1,2,1,2,1,0,1.2547301448516262,1.8390432943963009,2.653987738278841,1.807500889211005
216,0,0,1,3,1,2,0,0,0,1,0.07670397999638157,2.083306909514192,0.34669982258562504,1.7981984922256071
217,0,0,0,3,1,3,1,3,0,3,-0.7279889801753554,3.408868028829034,1.180550086544303,1.8685933461461097
218,0,0,0,3,0,2,0,1,0,1,2.984907735017992,1.9136854446095792,1.180550086544303,1.8685933461461097
219,0,0,0,1,0,1,0,2,0,3,2.984907735017992,2.6305925809239836,1.180550086544303,1.8685933461461097
220,1,1,0,3,1,0,0,0,0,2,0.6917928620580747,1.6923481724421334,2.029874035041808,1.558578053936497
221,1,1,1,3,1,1,1,1,1,2,1.2547301448516262,1.8390432943963009,2.1515756476003474,2.2483637394293825
222,0,0,0,0,1,0,0,0,0,3,-0.48447821013765235,2.0869615264616233,1.966592715183511,1.8685933461461097
223,1,1,0,1,0,0,1,3,0,2,2.2208633811992016,1.6923481724421334,2.029874035041808,1.558578053936497
224,0,0,1,3,0,3,1,3,0,2,0.07670397999638157,2.083306909514192,1.1742264299192506,2.3840792558160775
225,0,0,1,3,1,2,0,0,1,3,0.07670397999638157,2.62043378847267,0.5476745410971406,2.3840792558160775
226,1,0,0,2,0,2,0,1,1,0,1.3580821342086251,1.9559415212669775,1.7092242756562843,1.7132253175852592
227,1,0,0,0,0,0,1,2,0,3,1.3580821342086251,0.2504596093045206,1.1670533721156184,1.7132253175852592
228,1,1,1,2,1,3,0,0,1,0,1.2547301448516262,1.8390432943963009,0.13808298907172345,2.2483637394293825
229,1,0,1,2,1,1,0,0,1,1,1.2547301448516262,1.8390432943963009,0.13808298907172345,2.2483637394293825
230,1,1,1,1,1,2,0,3,1,3,1.2547301448516262,1.8390432943963009,0.13808298907172345,2.2483637394293825
231,1,1,0,1,1,0,0,0,0,1,-0.5294305997940456,2.3490764852124606,1.1670533721156184,1.7132253175852592
232,1,1,1,2,0,1,1,3,1,0,1.2547301448516262,1.8390432943963009,1.3252176187548628,2.2483637394293825
233,1,1,0,3,1,3,1,0,0,3,2.845093895670873,-0.1800775270566488,0.9750332709012821,1.7132253175852592
234,0,0,0,1,1,1,0,1,1,2,2.6671012778866183,2.7058215900840605,-1.3742490871370787,2.5530143559351335
235,0,0,0,0,0,1,0,1,0,2,2.6671012778866183,2.7058215900840605,3.3202747833760435,2.5530143559351335
236,0,0,1,1,1,2,0,1,0,3,0.07670397999638157,1.379586313600018,1.9624431348206077,2.0971995850965186
237,0,1,1,1,1,0,1,1,0,0,0.07670397999638157,1.379586313600018,1.9624431348206077,2.0971995850965186
238,1,0,1,3,0,1,1,0,0,3,1.2547301448516262,1.8390432943963009,0.4987232499566794,0.8356171726320887
239,0,0,0,3,1,0,1,1,0,2,0.5388383139236533,0.8146746134954927,-1.0556652567719915,2.5530143559351335
240,0,0,0,1,0,1,0,0,1,3,0.5388383139236533,2.3574678708089403,-1.0556652567719915,2.5530143559351335
241,0,1,1,2,0,2,1,0,1,1,2.099345913543655,1.379586313600018,2.7697452845142863,2.0971995850965186
242,1,0,0,0,0,1,0,1,0,3,1.7572169098981303,0.984967413211268,2.0012610162445865,1.7132253175852592
243,0,0,0,2,1,2,0,0,0,3,0.17878579851899346,3.6134330349302175,0.5244707478549864,0.5603516763680929
244,0,0,0,0,0,3,0,1,0,0,0.17878579851899346,3.6134330349302175,0.41926551868846906,0.5603516763680929
245,0,0,1,3,0,2,1,0,0,0,2.099345913543655,1.379586313600018,-0.5942280179416657,1.65409154092612
246,0,0,0,2,0,1,0,0,1,1,2.0293082438665073,3.3270148314571,0.41926551868846906,0.5603516763680929
247,1,0,1,0,1,2,1,3,1,0,1.2547301448516262,1.8390432943963009,0.5396676787482657,0.6439039416113022
248,1,1,0,0,1,0,0,2,0,0,0.4231108285107852,0.931360014937759,0.5998202337597203,1.7132253175852592
249,1,1,1,1,0,0,0,1,1,0,1.2547301448516262,1.8390432943963009,0.5217867011295714,0.6439039416113022
