,A,Y,C1,C2,C3,C4,C5,C6,X1,X2,X3,X4,X5,X6,D1,D2,D3
47,0,1,0,0,1,1,0.9914841085254407,1.9687157329732794,1,0,1,0,2.7894609679089983,1.6982231491383304,1,1,0
48,0,1,0,1,1,3,0.9914841085254407,1.9687157329732794,0,3,1,0,2.7894609679089983,1.6982231491383304,1,3,1
49,0,1,0,0,0,0,1.72259673614101,1.9687157329732794,1,1,1,1,2.7894609679089983,1.6982231491383304,1,0,1
50,0,0,1,2,0,0,1.0,1.1619053999541804,0,1,1,1,2.0987532219400773,2.2365362911480644,1,2,0
51,0,0,0,1,1,1,1.0,1.1619053999541804,1,0,1,3,2.0987532219400773,0.3930747399579215,1,2,1
52,0,0,1,0,0,3,0.9435273089700911,1.1619053999541804,1,1,1,3,2.0987532219400773,0.3930747399579215,0,2,1
53,1,1,1,1,1,0,1.3398672617358778,2.959449838979852,0,1,1,1,2.125443493538942,2.9611524377374914,0,3,1
54,1,0,1,2,0,3,1.3725352631102419,1.1218824053567538,1,0,1,1,3.4187556178020886,-0.688666604248946,1,2,1
55,0,0,0,0,1,1,0.9435273089700911,1.1619053999541804,1,1,1,1,2.0987532219400773,-0.03672590371913209,1,2,0
56,1,1,1,1,0,1,1.3398672617358778,1.293188078686788,1,2,0,2,1.8665581423853503,2.9611524377374914,0,1,0
57,0,1,0,2,0,1,1.7544624714314543,2.18133276327547,1,2,0,2,1.6851907382884501,2.850349464133065,0,0,0
58,0,1,0,0,0,1,1.3197409649361629,1.7247435900941306,1,0,1,1,1.6851907382884501,3.2673773346760195,1,3,0
59,0,0,0,1,1,1,1.0154038018838578,1.1619053999541804,1,1,1,1,2.0987532219400773,0.637703423641006,1,3,0
60,1,0,1,0,1,0,1.3725352631102419,1.1218824053567538,1,2,0,2,1.2546126208510389,2.674402440535713,1,2,0
61,0,0,0,2,0,1,1.0154038018838578,1.1619053999541804,1,2,0,1,2.0987532219400773,0.637703423641006,1,2,1
62,1,0,1,1,0,0,0.6116216124331657,2.0335756101658644,0,2,1,1,1.2546126208510389,2.240316516460558,1,2,0
63,0,0,0,3,0,2,1.0154038018838578,1.1619053999541804,1,3,0,0,2.0987532219400773,0.5005915758249522,1,3,0
64,0,0,0,2,1,2,1.0154038018838578,1.1619053999541804,1,1,1,1,2.0987532219400773,1.559492619055988,1,3,1
65,1,1,1,3,1,0,0.8601529476562251,2.314949108287307,0,1,0,1,3.0379377209852017,2.9611524377374914,0,0,0
66,0,1,0,2,1,3,1.6294090833320585,2.021079187414294,0,3,0,3,-1.0113784556209748,2.9256954924768834,1,2,0
67,0,1,0,0,0,0,1.6294090833320585,2.021079187414294,0,1,1,0,3.346520413177054,2.9256954924768834,1,3,0
68,0,0,0,3,1,3,1.0154038018838578,1.725195953076096,1,0,1,0,2.0987532219400773,1.552870483454043,0,1,0
69,1,0,1,3,0,2,1.449307957486196,2.6903805312159554,1,2,0,0,1.942903292415174,1.8947384877237194,1,2,0
70,1,1,0,1,0,3,1.3519670149023242,2.410539215851118,1,2,1,0,2.5269091563901043,2.9611524377374914,0,2,0
71,1,0,0,3,0,2,1.689316001294899,2.6903805312159554,1,3,0,3,1.0337250998697147,1.6281954822823377,1,1,0
72,1,0,1,0,0,2,1.689316001294899,2.6903805312159554,1,2,1,1,1.0337250998697147,1.6281954822823377,0,0,0
73,0,0,0,3,1,3,1.0154038018838578,2.3208039800811964,0,0,0,3,2.0987532219400773,2.4944864168369527,1,1,0
74,0,1,0,2,1,3,-1.3167120638105545,2.109099393347636,1,3,0,1,3.346520413177054,1.4439357557871628,0,1,0
75,0,1,1,0,1,2,2.64183888818066,2.109099393347636,0,2,1,3,3.346520413177054,1.4439357557871628,0,3,1
76,1,0,0,1,0,3,1.689316001294899,1.2385673805483042,0,3,1,3,1.6102175591487347,1.6281954822823377,0,3,0
77,1,0,1,0,1,2,1.689316001294899,1.2385673805483042,0,0,1,1,1.6102175591487347,1.6281954822823377,0,3,1
78,1,0,1,3,1,3,1.689316001294899,1.2385673805483042,1,1,1,1,1.6102175591487347,2.4275801955620047,1,1,1
79,1,1,0,1,0,2,1.3519670149023242,1.6314786569206872,0,1,1,0,2.008822972746647,2.9611524377374914,1,1,0
80,1,0,1,3,0,2,1.689316001294899,1.2385673805483042,1,3,1,1,1.1243873980304766,1.779387154306597,1,0,0
81,1,1,1,3,1,0,1.3519670149023242,1.6314786569206872,0,0,1,1,0.5604368419849481,2.9611524377374914,1,2,0
82,0,1,0,1,1,1,1.6263920664813019,2.135987054587082,0,3,0,1,0.42762128312025327,0.9446304492365818,1,2,1
83,0,0,0,1,0,1,1.0154038018838578,2.821449433423202,1,2,0,0,0.07096265834939519,1.2467802555164238,1,3,0
84,1,1,1,2,0,1,2.313138287605918,2.2332344677233396,0,1,1,3,0.25786959553453914,2.9611524377374914,1,3,1
85,1,0,1,0,0,2,0.7716325564641993,1.2385673805483042,1,1,0,1,0.6136480469775889,1.722994858603773,1,0,1
86,1,1,1,3,1,1,2.313138287605918,2.2332344677233396,0,3,1,3,1.9717520327433715,2.8090858990101304,1,1,0
87,1,0,1,0,0,1,0.7716325564641993,1.2385673805483042,1,1,1,1,0.6136480469775889,2.5532962524258616,1,2,0
88,0,1,0,2,0,1,2.697094539425464,1.4353836988593511,1,3,0,2,1.8621264077934325,3.5559657361673,0,1,0
89,1,1,0,1,0,0,2.313138287605918,2.2332344677233396,0,3,0,3,2.1506210162336714,2.8090858990101304,1,3,0
90,0,0,0,0,0,3,0.777760272251234,2.821449433423202,0,3,1,1,0.07096265834939519,0.7057007574566188,0,1,0
91,1,0,1,1,1,0,0.7716325564641993,1.4950086679575136,1,1,0,3,0.1250887805732419,2.3321231907250275,1,0,1
92,1,1,1,3,1,2,2.313138287605918,2.2332344677233396,0,1,1,3,1.0712130949956469,2.8090858990101304,0,2,0
93,0,1,0,1,1,1,2.697094539425464,1.4353836988593511,0,0,0,1,0.8986970227609742,2.65921192338684,0,3,1
94,0,0,0,1,1,3,0.777760272251234,2.0381582417181634,1,3,1,2,0.5344370905499822,2.381076768176709,1,1,0
95,0,0,0,2,0,3,0.777760272251234,2.642253556424456,1,3,1,2,0.5344370905499822,2.381076768176709,1,1,0
96,0,0,0,1,1,3,0.777760272251234,2.642253556424456,0,0,0,1,0.5344370905499822,1.5874341715154343,1,2,0
97,0,1,0,2,0,3,-0.7771260410781546,1.7856955982867482,1,0,1,1,0.3887923803370986,1.1774467774366997,1,3,1
98,1,0,1,3,0,3,0.7716325564641993,1.4950086679575136,0,0,1,0,0.021661907978821615,0.668317916557134,1,3,1
99,0,1,0,2,1,0,2.4144456824311455,1.7856955982867482,1,3,0,2,0.3887923803370986,3.6892630913569917,1,0,0
100,1,0,1,1,1,0,0.7716325564641993,1.4950086679575136,0,2,1,1,1.4754636410761033,0.9018605113512308,0,0,0
101,0,0,1,0,1,0,0.9107623406778551,2.642253556424456,1,1,0,0,1.1131193417575909,2.2849816775002543,0,0,0
102,0,0,0,0,1,1,0.9107623406778551,2.642253556424456,1,2,0,2,1.1131193417575909,1.7249031377427047,1,3,1
103,0,0,0,2,0,0,0.9107623406778551,2.642253556424456,0,0,0,1,1.1131193417575909,1.47910154475484,0,3,0
104,0,0,0,2,0,3,0.9107623406778551,2.642253556424456,1,1,1,1,1.1131193417575909,2.548789884560609,0,2,0
105,0,0,1,1,0,1,0.9107623406778551,2.642253556424456,0,2,1,1,0.9775543793158838,1.4709730402071983,0,2,1
106,1,0,1,0,1,0,0.7716325564641993,1.4950086679575136,1,2,0,2,-0.909555499252936,2.6295628132814923,1,1,0
107,1,0,1,1,1,2,0.7716325564641993,1.4950086679575136,0,1,0,1,-0.909555499252936,2.6295628132814923,0,1,1
108,1,1,1,2,1,2,0.39738980008869973,2.164426007938136,1,3,1,3,2.3184109370895243,2.0883691522357366,1,1,0
109,1,0,0,2,1,0,0.7716325564641993,1.4950086679575136,0,2,0,3,-0.6966380800005751,2.1162193986386617,1,0,0
110,0,1,0,0,1,0,1.1604134938061197,1.6907024191363604,0,1,0,2,2.3249484244861764,0.6474850053072712,1,2,0
111,1,1,0,1,1,0,0.39738980008869973,2.164426007938136,0,1,1,1,2.3184109370895243,1.4019671006227403,0,2,1
112,1,1,0,2,1,0,0.39738980008869973,1.4034734942103346,0,2,1,3,0.34905345159302104,1.4019671006227403,1,1,1
113,1,0,1,0,1,3,1.6685270087159154,1.4950086679575136,0,2,1,1,1.4681850023733076,0.9235021649350461,1,1,1
114,0,1,0,3,0,3,1.0145960722426253,1.9622456826818648,1,3,1,1,0.502311856130387,4.775379393141407,0,3,0
115,0,0,0,0,0,3,0.9107623406778551,1.3264635666855238,1,2,1,2,1.1001629624475706,1.572145928792672,1,1,1
116,1,0,1,1,1,1,1.6685270087159154,1.4950086679575136,0,2,1,1,0.8109672219888855,1.846204199816611,1,2,0
117,1,1,0,3,0,0,0.39738980008869973,0.9173103684069139,0,1,1,1,0.6868220475751785,2.567609932970115,0,1,1
118,0,1,0,0,0,1,1.0145960722426253,1.9622456826818648,0,3,1,1,1.1961830204047335,0.025388426308061263,1,0,0
119,1,0,1,2,0,1,1.6110843366162173,1.4950086679575136,1,1,1,1,2.319054323562945,2.258026382545017,1,3,1
120,1,0,1,2,1,0,1.6110843366162173,1.4950086679575136,0,2,0,1,1.2054992435606124,2.361589117256109,0,3,0
121,0,0,0,1,1,2,0.9107623406778551,2.993963670304776,1,1,1,1,1.4595062185786796,1.7309517995903696,1,3,1
122,0,0,1,0,1,0,0.9107623406778551,2.993963670304776,1,1,0,0,1.4595062185786796,1.524044066638604,0,2,0
123,1,0,1,3,1,0,1.6110843366162173,1.4950086679575136,0,3,0,1,2.807415967222137,2.5252095417604066,0,2,0
124,0,1,0,0,0,3,1.9595151813346714,1.9622456826818648,1,3,0,2,1.0363618771846266,0.8791899689558831,1,0,0
125,0,1,0,2,0,3,1.9595151813346714,1.9622456826818648,1,0,0,2,1.0363618771846266,2.0102084147439103,0,1,0
126,1,0,1,3,1,3,0.7272671230879915,2.218097622501677,0,0,1,1,2.807415967222137,0.7682237545510824,1,3,0
127,0,0,0,2,1,0,0.9107623406778551,2.993963670304776,0,1,0,3,0.48131120732415766,2.5203398306124245,0,1,1
128,1,1,1,2,0,2,0.39738980008869973,0.4148303865182612,0,3,1,1,0.9157666297152741,0.25941501999347194,1,0,0
129,0,0,0,3,0,2,0.9107623406778551,2.993963670304776,0,0,1,1,0.48131120732415766,1.8012401667305726,1,2,0
130,1,1,1,3,1,0,0.39738980008869973,1.2408122777622057,0,1,0,0,0.9157666297152741,0.25941501999347194,1,1,0
131,1,1,1,0,1,0,0.39738980008869973,1.2408122777622057,1,1,0,3,0.9157666297152741,0.25941501999347194,1,2,0
132,0,0,0,0,1,1,0.9107623406778551,2.993963670304776,1,0,1,3,0.48131120732415766,1.2076223532578976,1,3,1
133,0,1,0,2,0,3,-0.6844383764379112,2.4812762591996207,0,0,0,2,1.6364722583976221,2.3293444891900137,1,3,0
134,1,1,1,3,0,0,0.39738980008869973,3.0226405929831683,0,0,1,3,1.8557011784769477,0.25941501999347194,1,3,0
135,1,1,0,3,1,0,0.39738980008869973,3.0226405929831683,0,1,0,3,1.8557011784769477,0.25941501999347194,1,3,1
136,1,1,1,2,1,1,0.39738980008869973,1.8357774025601814,0,2,1,1,1.8557011784769477,0.25941501999347194,1,1,1
137,1,0,1,0,0,1,0.7272671230879915,1.8502347819306175,1,3,1,1,0.10767362194125751,1.8705507354534059,1,3,0
138,1,0,1,1,0,3,0.7272671230879915,1.8502347819306175,1,0,1,1,0.10767362194125751,1.2301998527289029,1,1,1
139,1,0,1,0,0,2,0.7272671230879915,1.8502347819306175,0,2,1,2,1.9755334615421996,1.2301998527289029,1,3,0
140,0,0,1,1,0,2,0.9107623406778551,2.748662553217434,1,0,0,0,0.3280489214525204,0.4153244773085756,0,3,1
141,1,0,0,2,0,2,1.6413435466252004,1.8502347819306175,1,2,0,1,1.921826172883998,0.8391406219715417,0,2,0
142,1,0,1,1,1,0,1.6413435466252004,1.8502347819306175,1,2,0,1,1.921826172883998,0.8391406219715417,1,0,1
143,0,1,0,3,1,3,1.2754962421412852,2.4812762591996207,0,3,0,0,-1.3789234652018214,0.8367629904840168,0,1,1
144,1,0,0,0,1,3,1.9988905834575845,1.8502347819306175,0,2,1,3,1.6362400659682486,1.6781695071901752,0,2,1
145,0,0,0,0,0,3,0.8494101097406628,2.748662553217434,1,0,0,0,0.3280489214525204,3.9841287853889247,0,0,1
146,0,0,0,3,0,1,0.8494101097406628,2.748662553217434,1,3,0,2,1.7439862281092973,3.9841287853889247,0,3,1
147,0,0,0,1,1,1,0.8494101097406628,2.748662553217434,1,3,0,2,1.7439862281092973,1.5269457724060076,1,1,0
148,1,1,0,2,0,3,0.39738980008869973,2.859170079317991,0,2,1,1,2.242206801502634,2.9450747553081507,1,1,1
149,1,1,1,1,0,1,0.39738980008869973,0.8675028415071013,1,1,0,1,-0.3324401529564054,2.9450747553081507,0,0,0
150,0,1,1,3,1,1,0.19651617015505773,2.4812762591996207,1,2,0,1,-1.1866489208784259,0.07911305478097352,1,0,1
151,1,0,1,0,1,2,1.9988905834575845,1.3767062173365163,1,2,1,3,2.0471499131070816,0.9879611437002471,1,3,0
152,1,0,1,0,1,1,1.9988905834575845,1.3767062173365163,1,2,1,1,0.9922749696173798,0.9879611437002471,0,2,0
153,0,1,0,3,0,3,1.12381657933243,1.9640673760265668,0,1,1,0,1.352404041700721,2.352535821258439,0,0,1
154,1,1,1,1,1,2,0.39738980008869973,1.8786389426104795,0,2,1,3,0.0725395407477647,2.9450747553081507,0,1,1
155,0,1,0,2,0,2,2.046403108963013,1.7578417949628955,1,0,0,0,1.2215298053394654,1.0755840987869731,0,3,1
156,0,0,0,1,0,0,0.8494101097406628,2.748662553217434,0,0,0,3,1.6433061143029093,1.764595139587189,0,1,1
157,0,1,0,0,0,2,-0.04613846629758722,1.7578417949628955,0,0,1,0,1.2215298053394654,-1.2105834327303633,1,3,1
158,0,1,0,0,1,3,-0.04613846629758722,1.7578417949628955,0,0,0,0,0.9246620518080764,4.38118982118776,0,0,1
159,1,1,1,3,0,2,0.39738980008869973,1.6424172302906626,0,2,1,3,1.5388267093726196,2.9450747553081507,0,3,1
160,0,0,0,3,1,2,0.8494101097406628,2.3473369337628234,1,1,0,1,1.6433061143029093,0.3736498548561351,0,2,0
161,1,1,1,2,1,1,0.39738980008869973,1.9474723955228983,1,0,1,1,1.5388267093726196,2.9450747553081507,1,2,1
162,1,1,1,0,1,0,0.39738980008869973,1.9474723955228983,0,1,1,1,1.5388267093726196,2.9450747553081507,1,0,0
163,1,1,0,2,1,0,0.39738980008869973,1.4544871585452004,0,1,1,1,1.5388267093726196,2.9450747553081507,0,3,0
164,0,1,0,3,0,3,1.9993204357813128,1.7578417949628955,1,0,0,1,0.9246620518080764,2.744601606030531,0,2,0
165,0,1,0,3,1,0,-0.12801590630660842,1.7578417949628955,0,3,1,0,0.9246620518080764,2.744601606030531,1,0,0
166,1,1,0,3,1,0,0.39738980008869973,1.4544871585452004,1,2,1,2,1.2443404670331994,2.9450747553081507,0,3,1
167,1,0,0,1,0,3,0.6553642226529142,2.8985625300159237,1,1,1,1,2.939927936766445,0.9011855470026848,1,2,1
168,1,0,0,1,1,3,1.2977542610160298,2.8985625300159237,0,2,0,1,1.3883307857700709,2.4086222695377595,1,3,0
169,0,1,0,0,0,3,0.6053562006177218,1.7495029539798863,1,3,0,0,1.8294323655234386,2.3962922938799434,0,2,0
170,1,0,1,1,0,1,1.2977542610160298,2.8985625300159237,1,1,1,1,0.041102003677835564,2.5111060496435327,0,0,0
171,1,1,0,3,1,0,0.44016874385804616,1.4076604842878193,0,1,1,1,1.343811658100176,2.9450747553081507,1,0,1
172,0,1,0,1,0,0,2.732399819827414,1.7495029539798863,0,1,0,0,1.429576607814551,0.4524856456018065,1,3,0
173,1,0,1,3,0,3,1.2977542610160298,2.8985625300159237,0,1,1,2,2.208814798095247,3.041001961617941,1,0,1
174,0,0,0,0,1,2,0.8494101097406628,2.778988879566923,1,1,0,0,0.5231687161491898,2.213770372544475,1,3,1
175,0,1,1,0,0,1,2.732399819827414,1.7495029539798863,0,2,1,1,0.2059656113765964,2.9506243647410413,1,3,0
176,0,0,0,2,1,0,0.8494101097406628,2.778988879566923,1,1,0,2,0.5231687161491898,1.619089030156934,0,3,0
177,0,0,0,1,0,2,0.8494101097406628,2.778988879566923,1,3,0,0,0.5231687161491898,1.619089030156934,1,1,1
178,0,0,0,3,1,1,0.8494101097406628,2.778988879566923,1,0,0,1,0.5231687161491898,1.2423394302391602,0,0,1
179,1,1,1,1,1,2,0.44016874385804616,3.0740105041402743,0,1,1,1,0.4758098384063363,2.9450747553081507,1,1,0
180,0,1,0,2,0,1,1.4332988239714002,1.7495029539798863,0,2,1,0,0.9295486292276245,0.9653232854819241,1,1,1
181,1,0,0,3,0,0,0.2403630506125769,1.2917367271219025,1,1,1,0,2.208814798095247,2.5395698276934873,0,2,0
182,0,0,1,0,0,1,0.8494101097406628,2.778988879566923,1,0,1,1,0.5231687161491898,2.0494232083588013,0,2,0
183,0,0,1,2,0,0,0.8494101097406628,2.778988879566923,1,3,1,1,0.5231687161491898,2.0494232083588013,0,1,0
184,0,1,0,1,0,0,1.5172799113927002,1.7495029539798863,0,2,0,3,1.1042991967904228,2.4001678775033293,0,1,0
185,1,0,1,2,0,0,0.2403630506125769,0.9613031078666081,1,3,0,3,1.8327756492473792,1.0519316436502648,0,0,1
186,0,0,0,3,0,0,0.8494101097406628,2.778988879566923,1,3,0,1,0.5231687161491898,2.0494232083588013,0,3,0
187,0,1,0,0,1,2,1.5172799113927002,1.776023787174363,1,2,1,0,0.3206022543320839,2.4001678775033293,0,3,1
188,0,0,0,0,1,0,0.8494101097406628,2.778988879566923,0,1,0,1,1.3803165721478488,2.0494232083588013,0,0,1
189,1,0,1,1,1,1,0.2403630506125769,2.9680631880455186,1,1,1,1,0.5854530972662886,2.943309239459523,0,1,0
190,1,0,1,3,1,0,0.2403630506125769,2.9680631880455186,0,0,0,1,0.5325271422358457,2.765929536181293,1,3,0
191,1,0,1,0,1,0,0.2403630506125769,2.9680631880455186,0,3,1,1,2.0239083542668745,2.765929536181293,1,2,1
192,0,0,0,2,0,0,0.8494101097406628,2.778988879566923,1,1,0,1,1.3803165721478488,2.5298179805459533,0,1,1
193,1,0,1,0,0,1,0.2403630506125769,2.9680631880455186,1,1,1,2,1.5779811629676583,1.3996453586875348,0,2,0
194,1,0,1,2,1,2,0.2403630506125769,2.9680631880455186,1,3,1,1,1.5779811629676583,2.7584798682386564,0,3,0
195,1,1,1,3,1,0,0.44016874385804616,3.521972943281078,0,1,1,1,-0.5861139698255666,2.9450747553081507,1,3,0
196,0,1,0,2,0,3,0.31490679296777935,1.4886105916608852,1,2,1,2,1.666590463041501,2.5880603252782044,1,3,0
197,1,1,1,3,1,0,0.44016874385804616,3.521972943281078,0,2,1,1,0.2895528692828049,2.9450747553081507,1,0,0
198,1,0,1,3,0,3,0.2403630506125769,2.9680631880455186,0,3,0,1,0.09179646576026501,1.4168781627069476,1,0,1
199,1,1,1,1,1,0,0.44016874385804616,1.79575263883402,0,2,1,1,2.075416048154747,2.9450747553081507,0,3,0
200,0,0,0,3,1,3,0.8494101097406628,2.778988879566923,1,0,0,0,0.5669093392708193,1.0894420141305745,1,2,1
201,1,1,1,3,0,1,2.311274005584325,1.3702594520804445,0,1,1,2,2.075416048154747,2.9450747553081507,0,3,1
202,0,0,0,3,0,2,0.8494101097406628,2.778988879566923,1,0,0,3,0.5669093392708193,2.9302435289230004,0,3,0
203,0,0,0,3,0,1,0.8494101097406628,2.9256362861038814,1,2,1,0,0.5669093392708193,2.7625300805496202,1,1,1
204,1,0,1,0,1,0,2.2179683711331393,2.9680631880455186,0,2,1,1,0.1196967563106548,1.759443569482558,1,1,0
205,1,1,1,0,1,3,2.311274005584325,1.9489300668445106,1,0,0,2,1.4825920275366153,2.9450747553081507,1,1,0
206,1,1,1,1,0,2,2.311274005584325,1.253962022606666,1,2,1,3,0.7319957287408145,2.9450747553081507,0,2,0
207,0,1,1,1,0,1,-0.9014843567637545,2.7082929244862157,1,3,1,1,0.8029591159589413,1.6773006339387053,0,1,1
208,0,1,0,1,1,1,-0.9014843567637545,2.7082929244862157,0,1,1,2,0.8029591159589413,3.706697537107081,1,2,0
209,0,1,0,3,1,2,3.2510204898825856,2.7082929244862157,1,0,0,3,0.21539341451645289,1.3182298687184253,0,3,0
210,1,0,0,3,0,0,2.2179683711331393,2.0271293924905383,0,1,0,1,1.3339487595195334,1.0039870581123735,0,1,0
211,1,1,1,0,1,3,2.311274005584325,3.2622801958793426,0,1,1,0,1.6165474916601572,2.9450747553081507,0,0,1
212,1,0,0,3,1,0,2.2179683711331393,2.0271293924905383,1,3,1,1,0.8509441040560644,2.1115347815582552,1,3,0
213,0,0,0,3,1,0,0.8494101097406628,2.9256362861038814,1,0,1,2,1.4948148771715757,1.6496896158417365,1,2,1
214,0,0,0,1,0,2,0.8494101097406628,1.6096060002213188,1,0,1,2,1.4948148771715757,1.6496896158417365,1,2,1
215,1,0,1,3,0,1,2.2179683711331393,1.65257705965519,1,2,1,1,0.8509441040560644,2.1115347815582552,1,2,1
216,1,0,0,1,1,2,2.2179683711331393,1.65257705965519,1,2,0,1,0.8509441040560644,2.1115347815582552,1,1,1
217,0,0,0,3,0,1,0.8494101097406628,1.6096060002213188,1,1,0,2,1.4948148771715757,2.361528574204513,0,2,1
218,1,1,1,2,1,0,2.311274005584325,2.336137869220976,1,2,0,1,3.039059669708348,0.4384806105270127,0,3,1
219,1,1,1,0,0,0,2.311274005584325,2.336137869220976,0,2,0,1,3.039059669708348,0.4384806105270127,1,1,0
220,1,0,1,3,1,1,2.2179683711331393,1.65257705965519,1,2,1,1,0.8509441040560644,2.226579201370293,0,0,1
